id,SalePrice
1461,119065.24669058493
1462,166081.76259872736
1463,175718.44650950562
1464,194739.87475578394
1465,218212.95353084442
1466,178615.37264675042
1467,180276.43006518518
1468,167268.10725558945
1469,192816.93000777822
1470,116440.47241981386
1471,199082.10325371416
1472,104819.93267100654
1473,95169.70148537325
1474,156835.63619244972
1475,122520.79801771382
1476,368244.25441658346
1477,249630.7665791245
1478,316268.6731250655
1479,316245.0243322827
1480,421422.11020484753
1481,290663.2948259057
1482,219977.0871666912
1483,182430.36949058366
1484,170972.96387511084
1485,183420.92720491695
1486,204632.92957298912
1487,343148.4401223506
1488,236072.48290288867
1489,196990.8037285162
1490,226071.42448007117
1491,200133.93778875738
1492,101719.91409088537
1493,185562.1773560102
1494,300530.64632523945
1495,298215.73172538425
1496,229773.7787086937
1497,188108.4813817509
1498,164329.89800353593
1499,166647.6668917446
1500,158589.2171088718
1501,168747.44488990027
1502,153514.25562723074
1503,274255.22797261924
1504,233956.36559851991
1505,218493.6628835979
1506,198327.5597121244
1507,240832.68486999848
1508,204316.47997450677
1509,162888.27396527096
1510,150266.239076562
1511,141900.76452849363
1512,174916.7913624834
1513,158479.7660859836
1514,152716.01147293847
1515,203612.15318026533
1516,153347.7069320773
1517,163763.9708832699
1518,146988.1231723081
1519,212398.87681980513
1520,124529.21385697625
1521,126033.28770979267
1522,178978.82250040222
1523,108761.31887951196
1524,125765.32251866098
1525,112823.84020673868
1526,109646.22461290617
1527,109784.77143521374
1528,144256.40031899454
1529,144953.36350606568
1530,187806.35577809904
1531,121801.52997996262
1532,95681.25312674628
1533,156040.9206573459
1534,131644.89450976695
1535,151633.37980144215
1536,109373.33466144482
1537,68165.5201438897
1538,178178.65873073565
1539,208550.5392517324
1540,120272.3354439821
1541,154414.46576595888
1542,138938.4859106323
1543,192559.09949307225
1544,86245.74817130744
1545,115590.40280739561
1546,145504.30399738322
1547,133301.0434640937
1548,141343.2229706113
1549,120189.53470003267
1550,137263.54775450414
1551,120384.72834553494
1552,150212.4754257775
1553,153688.21355782682
1554,126273.25007969368
1555,167221.03107921
1556,104548.99477903184
1557,113392.86983700353
1558,106172.6302985602
1559,93876.07434906601
1560,138549.71576544445
1561,145592.21692908986
1562,129333.40261594084
1563,117439.66038390034
1564,160066.90267877968
1565,155727.6030842628
1566,226708.9875467671
1567,81275.63057699456
1568,217981.97796107025
1569,134236.9818656359
1570,143848.03783962724
1571,113410.11122103513
1572,140136.9253323431
1573,221881.03193315095
1574,141539.02376168052
1575,214590.1411211132
1576,240243.43670513376
1577,186821.21945448127
1578,149911.24505411042
1579,135595.6468363977
1580,193204.12320484454
1581,159482.73630599992
1582,121777.66625083494
1583,269686.6777062247
1584,230402.5649607496
1585,142013.4690114134
1586,53786.961253600544
1587,100903.94395606796
1588,141453.6864593532
1589,109895.19759100728
1590,138666.89660076587
1591,88158.84551741759
1592,129882.44208671123
1593,125860.2498222504
1594,139986.4843432128
1595,119407.04090817517
1596,234231.202816476
1597,190001.81236239197
1598,206689.27852860407
1599,176085.9249317688
1600,181366.28201940982
1601,44649.02132418583
1602,117690.52826974273
1603,92702.38136946165
1604,259161.08324841422
1605,238363.18043895368
1606,184521.45944387757
1607,201899.12264139287
1608,211907.25742324383
1609,191437.2782384986
1610,146143.93575887557
1611,147561.41099953477
1612,200526.0291705354
1613,180351.9129502587
1614,123531.71382325084
1615,88542.01911351143
1616,76900.84776864544
